"Depth","Thickness","BD","AirDry","LL15","DUL","SAT","KS","Carbon","SoilCNRatio","FOM","FOM.CN","FBiom","FInert","NO3N","NH4N","PH","ParticleSizeClay","ParticleSizeSilt","ParticleSizeSand","Maize.KL","Maize.LL","Maize.XF","Soybean.KL","Soybean.LL","Soybean.XF","Wheat.KL","Wheat.LL","Wheat.XF","CEC","Nitrogen"
"0-5",50,1.29,0.0735,0.147,0.336,0.384,41.2018547129984,2.58,12,150,40,0.04,0.8,0.5,0.05,5.4,41.2,17.3,41.5,0.06,0.147,1,0.06,0.147,1,0.06,0.147,1,122,200
"5-15",100,1.29,0.153,0.153,0.33,0.381,46.6178917003745,1.86,12,122.809612961697,40,0.0327492301231193,0.808040133667335,0.495024916874584,0.0495024916874584,5.4,45.9,17.2,36.9,0.0491238451846789,0.153,1,0.0491238451846789,0.153,1,0.0491238451846789,0.153,1,87,149
"15-30",150,1.28,0.153,0.153,0.337,0.387,44.8372761937953,1.31,12,100.548006905346,40,0.0268128018414256,0.816161072021405,0.490099336653378,0.0490099336653378,5.4,43,18.8,38.2,0.0402192027621384,0.153,1,0.0402192027621384,0.153,1,0.0402192027621384,0.153,1,74,117
"30-60",300,1.26,0.192,0.192,0.342,0.387,28.1131628154606,0.89,12,82.321745414104,40,0.0219524654437611,0.824363627162814,0.485222766774254,0.0485222766774254,5.4,48.1,17.2,34.7,0.0329286981656416,0.192,1,0.0329286981656416,0.192,1,0.0329286981656416,0.192,1,68,80
"60-100",400,1.25,0.203,0.203,0.334,0.38,28.0730597692483,0.66,12,67.3993446175832,40,0.0179731585646889,0.832648619353911,0.480394719576162,0.0480394719576162,5.4,48.9,17.2,33.9,0.0269597378470333,0.203,1,0.0269597378470333,0.203,1,0.0269597378470333,0.203,1,63,71
"100-200",1000,1.24,0.208,0.208,0.331,0.364,10.5058089192837,0.5,12,55.1819161757163,40,0.0147151776468577,0.841016877100819,0.475614712250357,0.0475614712250357,5.5,49.7,17.4,32.9,0.0220727664702865,0.208,1,0.0220727664702865,0.208,1,0.0220727664702865,0.208,1,62,49
